"","site_code","date","time","datetime","air_temp","water_temp","pH","ecoli","turbidity","latitude","longitude"
"1","RC9",2023-08-02,"06:57:00","2023-08-02 00:00:00",17.3,20.4,6.5,74.4,0.04,39.040028,-77.08775
"2","RC10",2023-08-02,"07:10:00","2023-08-02 00:00:00",18,22,7,435.2,3.62,38.986667,-77.052306
"3","PR7",2023-08-02,"07:35:00","2023-08-02 00:00:00",NA,NA,7,75.9,4.41,38.87661,-77.04688
"4","PR7",2023-08-02,"07:35:00","2023-08-02 00:00:00",NA,NA,7,90.9,4.3,38.87661,-77.04688
"5","PR13",2023-08-02,"07:50:00","2023-08-02 00:00:00",18,28,6.5,118.7,14.9,38.712452,-77.074172
"6","CB-2",2023-08-02,"08:35:00","2023-08-02 00:00:00",23,25,6,10,16.3,38.230715,-79.96516
"7","GS1",2023-08-02,"08:41:00","2023-08-02 00:00:00",22,26,7,1,8.42,38.4747229,-77.2692459
"8","PR8",2023-08-02,"09:00:00","2023-08-02 00:00:00",19,26,NA,133.4,8.76,38.811825,-77.037683
"9","PR9",2023-08-02,"09:00:00","2023-08-02 00:00:00",20,25,7.5,82,10.38,38.77654,-77.04784
"10","PT2",2023-08-02,"09:00:00","2023-08-02 00:00:00",21,23,6.5,241,11.7,38.501328,-77.027005
"11","PR11",2023-08-02,"09:16:00","2023-08-02 00:00:00",23.5,26,7,7.5,7.43,38.4691169,-77.263728
"12","OR-2",2023-08-02,"09:33:00","2023-08-02 00:00:00",24,26,8,72.3,3.42,38.68268,-77.25802
"13","OR3",2023-08-02,"09:35:00","2023-08-02 00:00:00",22,24,7.5,22.8,1.92,38.68571626,-77.26205592
"14","PR6",2023-08-02,"09:43:00","2023-08-02 00:00:00",24,21,7,32.7,5.86,38.88496,-77.03588
"15","PT1",2023-08-02,"09:45:00","2023-08-02 00:00:00",20,23,6.5,30,14.9,38.470708,-77.031617
"16","PR10",2023-08-02,"10:02:00","2023-08-02 00:00:00",28,27,8,5.2,8.54,38.784099,-77.018505
"17","PR14",2023-08-02,"10:18:00","2023-08-02 00:00:00",NA,NA,7,4.1,4.56,38.67606,-77.166946
"18","PR5",2023-08-02,"10:18:00","2023-08-02 00:00:00",25,30,7,1986.3,3.43,38.90017,-77.0585
"19","CB1",2023-08-02,"10:20:00","2023-08-02 00:00:00",23,26,6.2,1,11.7,38.250815,-76.960338
"20","CB3",2023-08-02,"10:25:00","2023-08-02 00:00:00",22,26,7,1,17.8,38.239503,-76.966771
"21","CB3",2023-08-02,"10:25:00","2023-08-02 00:00:00",22,26,7,1,17.5,38.239503,-76.966771
"22",NA,2023-08-02,"10:25:00","2023-08-02 00:00:00",25,28,6.5,56.5,4.13,38.680345,-77.252992
"23","PR4",2023-08-02,"10:30:00","2023-08-02 00:00:00",25,30,7,248.1,3.62,38.90434,-77.07209
"24","PR1",2023-08-02,"10:35:00","2023-08-02 00:00:00",21,18.5,6.8,238.2,0.04,38.92579,-77.09512
"25","PR2",2023-08-02,"11:20:00","2023-08-02 00:00:00",22,27,NA,111.2,3.83,38.91878,-77.10309
"26","RC9",2023-08-09,"06:45:00","2023-08-09 00:00:00",19.3,21.3,6.5,770.1,1.98,39.040028,-77.08775
"27","PR13",2023-08-09,"07:30:00","2023-08-09 00:00:00",24.5,26,6.5,47.1,13.1,38.712452,-77.074172
"28","RC10",2023-08-09,"07:30:00","2023-08-09 00:00:00",18.7,23,6.5,1413.6,10.07,38.986667,-77.052306
"29","PR7",2023-08-09,"07:42:00","2023-08-09 00:00:00",24,NA,7,648.8,9.03,38.87661,-77.04688
"30","PR10",2023-08-09,"08:20:00","2023-08-09 00:00:00",25,26,7.5,15.8,11.5,38.784099,-77.018505
